d=0.85, epsilon=1e-7, iter 70
nodeid	pagerank
1793	0.000261
1794	0.000138
1795	0.000198
1796	0.000184
1797	0.000107
1798	0.000150
1799	0.000263
1800	0.000334
1801	0.000113
1802	0.000122
1803	0.000119
1804	0.000297
1805	0.000122
1806	0.000121
1807	0.000132
1808	0.000122
1809	0.000219
1810	0.000211
1811	0.000169
1812	0.000132
1813	0.000253
1814	0.000107
1815	0.000114
1816	0.000237
1817	0.000114
1818	0.000123
1819	0.000189
1820	0.000145
1821	0.000134
1822	0.000108
1823	0.000250
1824	0.000139
1825	0.000118
1826	0.000215
1827	0.000309
1828	0.000137
1829	0.000111
1830	0.000113
1831	0.000121
1832	0.000151
1833	0.000305
1834	0.000103
1835	0.000289
1836	0.000123
1837	0.000151
1838	0.000107
1839	0.000276
1840	0.000107
1841	0.000128
1842	0.000232
1843	0.000144
1844	0.000135
1845	0.000199
1846	0.000133
1847	0.000118
1848	0.000125
1849	0.000233
1850	0.000120
